ID	Int_TYPE1	Area_TYPE1	Int_TYPE2_N	Area_TYPE1
448	0.9656	5870	1.2332	5870
449	1.3574	1578	1.5634	1578
450	0.8683	5894	1.2282	5894
451	0.8721	2775	1.8598	2775
452	0.8675	1577	1.2765	1577
453	0.7494	3831	0.9327	3831
454	0.6431	2062	1.1135	2062
455	0.9000	60	1.0333	60
456	2.7640	979	5.8631	979
457	3.2561	1074	13.2374	1074
458	2.8813	320	6.8438	320
459	1.2487	189	7.9577	189
460	1.3056	36	28.6111	36
461	9.2769	260	3.3115	260
462	2.7457	1585	38.0915	1585
463	10.3421	1184	5.6402	1184
464	1.8500	40	13.6750	40
465	1.2561	773	77.3700	773
466	3.6567	871	5.6579	871
467	10.0963	706	6.2819	706
468	3.0547	3087	33.9349	3087
469	3.4198	1770	12.9164	1770
470	3.6243	567	40.2328	567
471	4.2574	1904	4.9916	1904
472	1.3782	862	5.4942	862
473	2.2183	623	7.7480	623
474	2.4078	510	46.8471	510
475	1.2981	1714	12.7900	1714
476	3.5050	1200	4.4917	1200
477	2.7645	586	47.2406	586
478	4.6969	1178	20.3362	1178
479	2.9963	545	22.9028	545
480	6.1686	421	2.1948	421
481	6.7891	901	1.8668	901
482	16.2834	3155	5.2561	3155
483	24.0291	275	2.3091	275
484	1.7250	1091	6.3905	1091
485	1.9120	1534	32.6154	1534
486	19.3638	1160	1.9819	1160
487	7.5936	652	2.0767	652
488	2.3770	1016	14.0354	1016
489	1.5373	644	8.3556	644
490	7.5207	1863	35.8046	1863
491	1.7269	271	3.8856	271
492	13.5166	511	2.7808	511
493	5.2489	470	6.8979	470
494	9.6223	503	3.1849	503
495	2.3702	1945	6.9476	1945
496	15.4227	414	6.2729	414
497	3.5582	1358	5.6009	1358
498	8.0533	1314	6.2588	1314
499	1.8464	3671	14.4418	3671
500	7.0558	1451	20.4376	1451
501	6.3008	236	1.9576	236
502	2.7559	426	3.7653	426
503	5.5952	378	3.1111	378
504	1.9759	954	4.1792	954
505	3.1280	1242	9.1876	1242
506	10.2261	920	5.3924	920
507	3.8466	1441	16.7807	1441
508	2.1058	274	3.6496	274
509	4.5996	1406	31.1053	1406
510	5.9243	1242	2.9944	1242
511	1.6685	365	4.1699	365
512	6.4402	811	24.8607	811
513	6.7110	1052	1.2605	1052
514	11.1617	1280	4.0359	1280
515	11.6683	1848	1.6044	1848
516	3.8947	1719	7.9953	1719
